experiment,subtask,model,provider,api_model,length,position,density,interference_type,similarity,distance,hops,hop_distance,chain_type,implementation,n_samples,n_success,accuracy,f1,rouge_l,mean_latency,p50_latency,p95_latency,error_rate,effective_context_length,effective_context_length_abs80,middle_drop,relative_middle_drop,density_accuracy_slope,density_accuracy_pearson,critical_density_threshold,top_error_type
ruler,freq_words_extraction,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,4096,,,,,,,,,ruler_fallback,63,0,0.0,,,0.0,0.0,0.0,1.0,32768,,,,,,,request_error
ruler,niah,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,50,,,,,,,,ruler_fallback,61,1,0.010592686002522068,0.6461538461538462,,0.05638123934584685,0.0,0.0,0.9836065573770492,16384,,,,,,,request_error
ruler,niah,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32768,50,,,,,,,,ruler_fallback,62,4,0.0,,,0.7802292887166503,0.0,8.89572856017624,0.9354838709677419,16384,,,,,,,request_error
ruler,niah,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,4096,50,,,,,,,,ruler_fallback,59,1,0.012182203389830509,0.71875,,0.02641296949458577,0.0,0.0,0.9830508474576272,16384,,,,,,,request_error
ruler,niah,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,16384,50,,,,,,,,ruler_fallback,64,7,0.109375,1.0,,0.4750863874978677,0.0,4.525995219929613,0.890625,32768,,,,,,,request_error
ruler,niah,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,32768,50,,,,,,,,ruler_fallback,63,5,0.07936507936507936,1.0,,0.41989557778034065,0.0,2.64670276006218,0.9206349206349206,32768,,,,,,,request_error
ruler,niah,qwen35_122b_a10b,siliconflow,Qwen/Qwen3.5-122B-A10B,4096,50,,,,,,,,ruler_fallback,58,1,0.017241379310344827,1.0,,0.022335836206209558,0.0,0.0,0.9827586206896551,32768,,,,,,,request_error
ruler,niah,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,16384,50,,,,,,,,ruler_fallback,100,50,0.5,1.0,,11.239992042002267,2.5696348999626935,59.329718530108224,0.5,32768,,,,,,,
ruler,niah,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,32768,50,,,,,,,,ruler_fallback,101,47,0.46534653465346537,1.0,,10.048341706936885,0.0,62.94228139985353,0.5346534653465347,32768,,,,,,,
ruler,niah,qwen35_27b,siliconflow,Qwen/Qwen3.5-27B,4096,50,,,,,,,,ruler_fallback,100,50,0.5,1.0,,14.12127541298978,0.9091377999866381,57.666784665058366,0.5,32768,,,,,,,
ruler,niah,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,16384,50,,,,,,,,ruler_fallback,61,2,0.03278688524590164,1.0,,0.17685709016580806,0.0,0.0,0.9672131147540983,32768,,,,,,,request_error
ruler,niah,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,32768,50,,,,,,,,ruler_fallback,67,6,0.08955223880597014,1.0,,0.518683450744807,0.0,4.896068110014312,0.9104477611940298,32768,,,,,,,request_error
ruler,niah,qwen35_35b_a3b,siliconflow,Qwen/Qwen3.5-35B-A3B,4096,50,,,,,,,,ruler_fallback,55,2,0.03636363636363636,1.0,,0.09085383454591713,0.0,0.0,0.9636363636363636,32768,,,,,,,request_error
ruler,niah,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,16384,50,,,,,,,,ruler_fallback,115,14,0.12173913043478261,1.0,,0.4773506295664803,0.0,4.057283799978904,0.8782608695652174,16384,,,,,,,request_error
ruler,niah,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,32768,50,,,,,,,,ruler_fallback,110,9,0.08181818181818182,1.0,,3.429810256367041,0.0,5.3860775700886725,0.9181818181818182,16384,,,,,,,request_error
ruler,niah,qwen35_9b,siliconflow,Qwen/Qwen3.5-9B,4096,50,,,,,,,,ruler_fallback,114,13,0.11403508771929824,1.0,,0.4422368842111737,0.0,3.7370097149279804,0.8859649122807017,16384,,,,,,,request_error
ruler,niah,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,16384,50,,,,,,,,ruler_fallback,60,4,0.06666666666666667,1.0,,0.3352281966673521,0.0,3.0816619501099853,0.9333333333333333,16384,,,,,,,request_error
ruler,niah,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,32768,50,,,,,,,,ruler_fallback,58,1,0.017241379310344827,1.0,,0.08549790517105882,0.0,0.0,0.9827586206896551,16384,,,,,,,request_error
ruler,niah,qwen3_14b_no_thinking,siliconflow,Qwen/Qwen3-14B,4096,50,,,,,,,,ruler_fallback,62,4,0.06451612903225806,1.0,,0.27130018387575666,0.0,0.9305632850853754,0.9354838709677419,16384,,,,,,,request_error
ruler,niah,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,16384,50,,,,,,,,ruler_fallback,63,4,0.06349206349206349,1.0,,0.6495456476215391,0.0,5.7601428300607855,0.9365079365079365,32768,,,,,,,request_error
ruler,niah,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,32768,50,,,,,,,,ruler_fallback,62,6,0.0967741935483871,1.0,,0.8382353790314688,0.0,8.734419889969292,0.9032258064516129,32768,,,,,,,request_error
ruler,niah,qwen3_14b_thinking,siliconflow,Qwen/Qwen3-14B,4096,50,,,,,,,,ruler_fallback,63,5,0.07936507936507936,1.0,,0.797264360316423,0.0,5.525464850058777,0.9206349206349206,32768,,,,,,,request_error
ruler,niah,qwen3_8b,siliconflow,Qwen/Qwen3-8B,16384,50,,,,,,,,ruler_fallback,105,31,0.29523809523809524,1.0,,1.2008556828612373,0.0,6.397915600007398,0.7047619047619048,4096,,,,,,,request_error
ruler,niah,qwen3_8b,siliconflow,Qwen/Qwen3-8B,32768,50,,,,,,,,ruler_fallback,111,22,0.19805519805519806,0.9992784992784993,,1.7294460297310472,0.0,10.07304980000481,0.8018018018018018,4096,,,,,,,request_error
ruler,niah,qwen3_8b,siliconflow,Qwen/Qwen3-8B,4096,50,,,,,,,,ruler_fallback,100,50,0.49984126984126986,0.9996825396825397,,0.8761630340060219,0.3876343499869108,2.2987156049348396,0.5,4096,,,,,,,
ruler,niah,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,16384,50,,,,,,,,ruler_fallback,57,3,0.05263157894736842,1.0,,0.692213047373419,0.0,1.957658280013157,0.9473684210526315,16384,,,,,,,request_error
ruler,niah,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,32768,50,,,,,,,,ruler_fallback,57,0,0.0,,,0.0,0.0,0.0,1.0,16384,,,,,,,request_error
ruler,niah,seed_oss_36b,siliconflow,ByteDance-Seed/Seed-OSS-36B-Instruct,4096,50,,,,,,,,ruler_fallback,58,3,0.05172413793103448,1.0,,0.5706559362106731,0.0,1.0095947699854055,0.9482758620689655,16384,,,,,,,request_error
ruler,qa_hotpotqa,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,16384,,,,,,,,,ruler_fallback,62,0,0.0,,,0.0,0.0,0.0,1.0,4096,,,,,,,request_error
ruler,qa_hotpotqa,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,32768,,,,,,,,,ruler_fallback,61,2,0.0,,,0.4009039295058636,0.0,0.0,0.9672131147540983,4096,,,,,,,request_error
ruler,qa_hotpotqa,hunyuan_a13b,siliconflow,tencent/Hunyuan-A13B-Instruct,4096,,,,,,,,,ruler_fallback,60,1,0.016666666666666666,1.0,,0.015375169999121379,0.0,0.0,0.9833333333333333,4096,,,,,,,request_error
