subset,condition_name,condition_value,model,n_total,n_eval,n_api_error,coverage,api_error_rate,accuracy_success,accuracy_all_conservative,mean_field_accuracy,mean_field_accuracy_all,decoy_capture_rate,partial_rate,omission_rate,near_miss_rate,mean_latency_sec,prompt_tokens_mean,completion_tokens_mean
PAC-B_interference,decoy_count,128,qwen3_8b,12,12,0,1.0,0.0,0.083333,0.083333,0.222225,0.222225,0.0,0.166667,0.0,0.0,12.806644,35672.25,150.5
PAC-B_interference,decoy_count,128,qwen35_27b,12,12,0,1.0,0.0,0.666667,0.666667,0.94445,0.94445,0.083333,0.25,0.0,0.0,45.645919,36388.166667,27.416667
PAC-B_interference,decoy_count,128,qwen35_35b_a3b,12,12,0,1.0,0.0,0.0,0.0,0.833342,0.833342,0.25,0.75,0.0,0.0,10.339129,36388.166667,27.666667
PAC-B_interference,decoy_count,128,qwen35_122b_a10b,12,12,0,1.0,0.0,0.5,0.5,0.916675,0.916675,0.25,0.25,0.0,0.0,4.614821,36388.166667,27.75
PAC-B_interference,decoy_count,128,qwen3_14b_no_thinking,12,12,0,1.0,0.0,0.25,0.25,0.861117,0.861117,0.333333,0.416667,0.0,0.0,8.525264,35672.25,26.583333
PAC-B_interference,decoy_count,128,qwen3_14b_thinking,12,0,12,0.0,1.0,,0.0,,0.0,,,,,0.0,31981.583333,
PAC-B_interference,decoy_count,128,hunyuan_a13b,12,12,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916667,0.0,10.61238,35664.25,192.0
PAC-B_interference,decoy_count,128,seed_oss_36b,12,8,4,0.666667,0.333333,0.25,0.166667,0.625,0.416667,0.0,0.375,0.0,0.0,12.076305,35652.75,97.75
PAC-B_interference,decoy_count,192,qwen35_9b,12,12,0,1.0,0.0,0.166667,0.166667,0.750017,0.750017,0.25,0.583333,0.0,0.0,8.79582,36463.416667,27.0
PAC-B_interference,decoy_count,192,qwen3_8b,12,12,0,1.0,0.0,0.0,0.0,0.138892,0.138892,0.0,0.166667,0.0,0.0,12.669228,36081.333333,164.333333
PAC-B_interference,decoy_count,192,qwen35_27b,12,12,0,1.0,0.0,0.583333,0.583333,0.972225,0.972225,0.0,0.416667,0.0,0.0,10.944716,36463.416667,26.666667
